商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
◆【限】真澄　MIYASAKA　　　　　山田錦　純米吟醸　720,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,1920,2112 ,無垢、そして奥深い。                   シャープ＆クリアな王道酒。,シャープな王道酒,
真澄　スパークリング　箱入　750,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,6600,7260 ,適度な酸味が全体を引き締めてガス圧も高く、余韻も伸びやか。,１年半以上熟成スパーク,
真澄　山廃純米吟醸ひやおろし,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,1981,2179 ,複雑重厚な味わいは滋味豊かな秋の料理と抜群の相性です。,ほんのり甘口,
◆【限】真澄　金寿　純米吟醸　720,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,2090,2299 ,絶妙なブレンド技術でふくよかな香りと深みのある味,ブレンドを楽しめる,
◆真澄　純米酒　奥伝寒造り　720,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,1560,1716 ,米の旨みをストレートに感じる豊潤で落ち着いた風味,日々の晩酌にオススメ,
真澄　静山　オーク樽熟成　大吟嬢,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,15000,16500 ,新樽のフレンチオークで2年間熟成。甘く複雑な香り,鴨肉のローストとともに,
神渡　純米吟醸　ペティアン　７２０,日本酒,,,,豊島屋,長野県,岡谷市,720,1980,2178 ,フレッシュな口当たりと、華やかな白桃のような香り。,自然の炭酸ガスで軽やか,
翠露　純米吟醸　春の美山錦　　　中汲み生酒,日本酒,,,,㈱舞姫,長野県,諏訪市,720,1681,1849 ,すっきりとした甘味と軽快な旨味が特徴。,ほんのり甘口,
翠露　純米吟醸　　　　　　　立春蔵出し生原酒,日本酒,,,,㈱舞姫,長野県,諏訪市,720,1800,1980 ,リンゴを思わせるような爽やかな香りに芳醇な甘みと旨味が特徴のお酒です。,立春蔵出し生原酒,
彗　DONATI　　　　　　　　　初汲み純米吟醸,日本酒,,,,遠藤酒造場,長野県,須坂市,720,1854,2039 ,上品な米の香り、適度な酸味と旨味がありバランスの取れた味わい。,彗の原点！赤い「彗」,
上川大雪　碧雲蔵　十勝　純米酒　720,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,1954,2149 ,豊潤な酒質で米の旨味が感じられ、キレが良く飲みごたえがある,十勝流“飲まさる酒”,
上川大雪　碧雲蔵　十勝　特別純米酒　吟風　720,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,2150,2365 ,ふくよかでマイルドな旨味感のある芳醇旨口の味わいです。,どんな料理にも合う！,
上川大雪　碧雲蔵　十勝　特別純米酒　彗星　720,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,2150,2365 ,しっかりとしたボディ、スッキリとクリアな味わい！,究極の食中酒！,
上川大雪　碧雲蔵　十勝　純米大吟醸　720,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,3550,3905 ,華やかな吟醸香と、さらりとスッキリとした上品な味わいが特徴。,繊細でも力強い！,
◆上川大雪　十勝　　　　　　　with cheese Yellow (黄麹）　,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,2600,2860 ,しっかりな飲み応えにきめ細やかな酸が広がるチーズに合う食中酒,ペアリングを楽しめる,
上川大雪　十勝　純米初しぼり,日本酒,,,,十勝緑丘㈱(上川大雪）,北海道,,720,1600,1760 ,フレッシュで、スッキリした味わいの初しぼりの純米生酒です。,食中酒にオススメ！,
上川大雪　緑丘蔵　特別純米　彗星　生酒,日本酒,,,,上川大雪酒造,北海道,,720,2200,2420 ,新米の旨味とふなくちを思わせる　　　　　　　ガス感,新酒生酒,
上川大雪　十勝　純米吟醸　　　　うすにごり生　吟風生,日本酒,,,,上川大雪酒造　碧雲蔵,北海道,,720,3154,3469 ,生酒の心地よい微発泡感、白麹の酸、甘みが口中で一体となります。,１４度,
